date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2024-07-06,0,0,0,2024-07-04 22:00:00+0000,2024-07-04 22:00:00+0000,0,
2024-07-07,82,385,0,2024-07-06 18:48:00+0000,2024-07-07 02:35:00+0000,0,
2024-07-08,65,364,0,2024-07-07 19:02:00+0000,2024-07-08 02:11:00+0000,0,
2024-07-09,89,432,22,2024-07-08 17:35:00+0000,2024-07-09 02:38:00+0000,0,
2024-07-10,60,478,5,2024-07-09 17:40:00+0000,2024-07-10 02:43:00+0000,0,
2024-07-11,0,0,0,2024-07-09 22:00:00+0000,2024-07-09 22:00:00+0000,0,
2024-07-12,56,490,6,2024-07-11 17:29:00+0000,2024-07-12 02:41:00+0000,0,
2024-07-13,80,390,4,2024-07-12 18:57:00+0000,2024-07-13 02:51:00+0000,0,
2024-07-14,45,467,8,2024-07-13 18:21:00+0000,2024-07-14 03:01:00+0000,0,"[{\"start\":\"2022-01-08 00:42:44+0000\",\"end\":\"2022-01-08 00:43:02+0000\"}]"
2024-07-15,56,429,0,2024-07-14 19:02:00+0000,2024-07-15 03:07:00+0000,0,"[{\"start\":\"2022-01-08 00:33:40+0000\",\"end\":\"2022-01-08 00:33:58+0000\"}]"
2024-07-16,80,396,0,2024-07-15 18:40:00+0000,2024-07-16 02:36:00+0000,0,
2024-07-17,90,511,5,2024-07-16 17:41:00+0000,2024-07-17 03:47:00+0000,0,
2024-07-18,74,487,10,2024-07-17 18:15:00+0000,2024-07-18 03:46:00+0000,0,
2024-07-19,66,334,15,2024-07-18 19:27:00+0000,2024-07-19 02:22:00+0000,0,
2024-07-20,66,513,11,2024-07-19 17:05:00+0000,2024-07-20 02:55:00+0000,0,
2024-07-21,0,0,0,2024-07-19 22:00:00+0000,2024-07-19 22:00:00+0000,0,
2024-07-22,0,0,0,2024-07-20 22:00:00+0000,2024-07-20 22:00:00+0000,0,
2024-07-23,59,416,12,2024-07-22 18:36:00+0000,2024-07-23 02:43:00+0000,0,
2024-07-24,64,437,0,2024-07-23 18:15:00+0000,2024-07-24 02:36:00+0000,0,
2024-07-25,62,369,2,2024-07-24 19:37:00+0000,2024-07-25 02:50:00+0000,0,
2024-07-26,75,390,0,2024-07-25 18:54:00+0000,2024-07-26 02:39:00+0000,0,
2024-07-27,42,432,3,2024-07-26 19:01:00+0000,2024-07-27 02:58:00+0000,0,
2024-07-28,63,426,0,2024-07-27 19:46:00+0000,2024-07-28 03:55:00+0000,0,
2024-07-29,70,436,2,2024-07-28 18:31:00+0000,2024-07-29 02:59:00+0000,0,"[{\"start\":\"2022-01-08 00:44:19+0000\",\"end\":\"2022-01-08 00:45:04+0000\"}]"
2024-07-30,46,318,29,2024-07-29 20:07:00+0000,2024-07-30 02:40:00+0000,0,
2024-07-31,71,420,0,2024-07-30 18:20:00+0000,2024-07-31 02:31:00+0000,0,
2024-08-01,61,405,1,2024-07-31 18:45:00+0000,2024-08-01 02:32:00+0000,0,
2024-08-02,63,415,2,2024-08-01 18:32:00+0000,2024-08-02 02:32:00+0000,0,
2024-08-03,70,388,3,2024-08-02 19:23:00+0000,2024-08-03 03:04:00+0000,0,"[{\"start\":\"2022-01-08 00:32:16+0000\",\"end\":\"2022-01-08 00:32:46+0000\"}]"
2024-08-04,64,442,44,2024-08-03 17:58:00+0000,2024-08-04 03:08:00+0000,0,
2024-08-05,59,397,3,2024-08-04 18:53:00+0000,2024-08-05 02:32:00+0000,0,
2024-08-06,73,441,2,2024-08-05 18:00:00+0000,2024-08-06 02:36:00+0000,0,
2024-08-07,65,436,1,2024-08-06 18:11:00+0000,2024-08-07 02:33:00+0000,0,
2024-08-08,96,429,11,2024-08-07 18:20:00+0000,2024-08-08 03:16:00+0000,0,
2024-08-09,78,382,18,2024-08-08 18:40:00+0000,2024-08-09 02:38:00+0000,0,
2024-08-10,62,379,0,2024-08-09 19:16:00+0000,2024-08-10 02:37:00+0000,0,
2024-08-11,46,415,0,2024-08-10 18:25:00+0000,2024-08-11 02:06:00+0000,0,"[{\"start\":\"2022-01-08 00:42:30+0000\",\"end\":\"2022-01-08 00:42:52+0000\"}]"
2024-08-12,108,424,3,2024-08-11 18:18:00+0000,2024-08-12 03:13:00+0000,0,"[{\"start\":\"2022-01-08 00:43:04+0000\",\"end\":\"2022-01-08 00:43:40+0000\"}]"
2024-08-13,61,407,2,2024-08-12 18:51:00+0000,2024-08-13 02:41:00+0000,0,"[{\"start\":\"2022-01-08 00:42:16+0000\",\"end\":\"2022-01-08 00:42:38+0000\"}]"
2024-08-14,63,430,21,2024-08-13 18:02:00+0000,2024-08-14 02:36:00+0000,0,"[{\"start\":\"2022-01-08 00:42:07+0000\",\"end\":\"2022-01-08 00:42:29+0000\"},{\"start\":\"2022-01-08 00:42:30+0000\",\"end\":\"2022-01-08 00:42:38+0000\"},{\"start\":\"2022-01-08 00:42:39+0000\",\"end\":\"2022-01-08 00:43:13+0000\"}]"
2024-08-15,51,443,1,2024-08-14 18:21:00+0000,2024-08-15 02:36:00+0000,0,
2024-08-16,84,440,1,2024-08-15 17:49:00+0000,2024-08-16 02:34:00+0000,0,
2024-08-17,78,555,21,2024-08-16 16:25:00+0000,2024-08-17 03:19:00+0000,0,
2024-08-18,104,465,132,2024-08-17 18:11:00+0000,2024-08-18 05:52:00+0000,0,"[{\"start\":\"2022-01-08 00:39:41+0000\",\"end\":\"2022-01-08 00:40:11+0000\"}]"
2024-08-19,82,555,17,2024-08-18 15:57:00+0000,2024-08-19 02:51:00+0000,0,
2024-08-20,67,534,4,2024-08-19 16:16:00+0000,2024-08-20 02:21:00+0000,0,
2024-08-21,85,476,13,2024-08-20 16:58:00+0000,2024-08-21 02:32:00+0000,0,
2024-08-22,56,428,2,2024-08-21 18:07:00+0000,2024-08-22 02:13:00+0000,0,"[{\"start\":\"2022-01-08 00:41:43+0000\",\"end\":\"2022-01-08 00:42:02+0000\"}]"
2024-08-23,42,414,0,2024-08-22 18:42:00+0000,2024-08-23 02:18:00+0000,0,
2024-08-24,68,416,7,2024-08-23 18:25:00+0000,2024-08-24 02:36:00+0000,0,
2024-08-25,51,416,0,2024-08-24 18:45:00+0000,2024-08-25 02:32:00+0000,0,
2024-08-26,53,383,2,2024-08-25 19:29:00+0000,2024-08-26 02:47:00+0000,0,
2024-08-27,67,508,3,2024-08-26 17:27:00+0000,2024-08-27 03:05:00+0000,0,"[{\"start\":\"2022-01-08 00:42:02+0000\",\"end\":\"2022-01-08 00:42:37+0000\"}]"
2024-08-28,69,400,22,2024-08-27 20:12:00+0000,2024-08-28 04:23:00+0000,0,
2024-08-29,66,508,2,2024-08-28 17:24:00+0000,2024-08-29 03:00:00+0000,0,
2024-08-30,72,384,4,2024-08-29 19:42:00+0000,2024-08-30 03:22:00+0000,0,
2024-08-31,70,379,3,2024-08-30 19:12:00+0000,2024-08-31 02:44:00+0000,0,"[{\"start\":\"2022-01-08 00:39:07+0000\",\"end\":\"2022-01-08 00:39:31+0000\"}]"
2024-09-01,67,481,3,2024-08-31 18:35:00+0000,2024-09-01 03:46:00+0000,0,"[{\"start\":\"2022-01-08 00:32:34+0000\",\"end\":\"2022-01-08 00:32:56+0000\"},{\"start\":\"2022-01-08 00:38:31+0000\",\"end\":\"2022-01-08 00:39:12+0000\"}]"
2024-09-02,61,434,2,2024-09-01 18:20:00+0000,2024-09-02 02:37:00+0000,0,"[{\"start\":\"2022-01-08 00:42:42+0000\",\"end\":\"2022-01-08 00:43:09+0000\"}]"
2024-09-03,62,458,0,2024-09-02 18:14:00+0000,2024-09-03 02:54:00+0000,0,
2024-09-04,28,275,0,2024-09-03 22:00:00+0000,2024-09-04 03:03:00+0000,0,
2024-09-05,65,388,0,2024-09-04 18:52:00+0000,2024-09-05 02:25:00+0000,0,
2024-09-06,67,422,1,2024-09-05 18:20:00+0000,2024-09-06 02:30:00+0000,0,
2024-09-07,80,398,1,2024-09-06 18:41:00+0000,2024-09-07 02:40:00+0000,0,
2024-09-08,63,362,0,2024-09-07 19:26:00+0000,2024-09-08 02:31:00+0000,0,
2024-09-09,77,410,0,2024-09-08 18:33:00+0000,2024-09-09 02:40:00+0000,0,
2024-09-10,68,513,17,2024-09-09 16:43:00+0000,2024-09-10 02:41:00+0000,0,
2024-09-11,68,433,18,2024-09-10 18:50:00+0000,2024-09-11 03:29:00+0000,0,
2024-09-12,68,492,3,2024-09-11 17:59:00+0000,2024-09-12 03:22:00+0000,0,
2024-09-13,46,390,0,2024-09-12 19:07:00+0000,2024-09-13 02:23:00+0000,0,
2024-09-14,74,426,2,2024-09-13 18:31:00+0000,2024-09-14 02:53:00+0000,0,
2024-09-15,38,507,11,2024-09-14 17:59:00+0000,2024-09-15 03:15:00+0000,0,"[{\"start\":\"2022-01-08 00:37:34+0000\",\"end\":\"2022-01-08 00:38:06+0000\"}]"
2024-09-16,69,479,2,2024-09-15 18:17:00+0000,2024-09-16 03:27:00+0000,0,
2024-09-17,59,440,4,2024-09-16 18:25:00+0000,2024-09-17 02:48:00+0000,0,
2024-09-18,67,469,12,2024-09-17 17:50:00+0000,2024-09-18 02:58:00+0000,0,
2024-09-19,78,477,4,2024-09-18 17:13:00+0000,2024-09-19 02:32:00+0000,0,
2024-09-20,54,433,2,2024-09-19 18:32:00+0000,2024-09-20 02:41:00+0000,0,
2024-09-21,53,399,0,2024-09-20 19:05:00+0000,2024-09-21 02:37:00+0000,0,
2024-09-22,54,397,2,2024-09-21 19:08:00+0000,2024-09-22 02:41:00+0000,0,
2024-09-23,81,390,1,2024-09-22 18:43:00+0000,2024-09-23 02:35:00+0000,0,
2024-09-24,103,430,28,2024-09-23 17:21:00+0000,2024-09-24 02:42:00+0000,0,
2024-09-25,57,396,1,2024-09-24 18:35:00+0000,2024-09-25 02:09:00+0000,0,
2024-09-26,68,357,4,2024-09-25 18:52:00+0000,2024-09-26 02:01:00+0000,0,
2024-09-27,72,366,18,2024-09-26 18:17:00+0000,2024-09-27 01:53:00+0000,0,"[{\"start\":\"2022-01-08 00:37:50+0000\",\"end\":\"2022-01-08 00:38:08+0000\"}]"
2024-09-28,45,434,2,2024-09-27 18:34:00+0000,2024-09-28 02:35:00+0000,0,"[{\"start\":\"2022-01-08 00:38:41+0000\",\"end\":\"2022-01-08 00:39:04+0000\"}]"
2024-09-29,57,449,4,2024-09-28 18:42:00+0000,2024-09-29 03:12:00+0000,0,"[{\"start\":\"2022-01-08 00:37:18+0000\",\"end\":\"2022-01-08 00:38:18+0000\"}]"
2024-09-30,67,463,1,2024-09-29 18:33:00+0000,2024-09-30 03:24:00+0000,0,
2024-10-01,51,424,1,2024-09-30 18:36:00+0000,2024-10-01 02:32:00+0000,0,
2024-10-02,65,405,1,2024-10-01 18:12:00+0000,2024-10-02 02:03:00+0000,0,
2024-10-03,57,426,1,2024-10-02 17:56:00+0000,2024-10-03 02:00:00+0000,0,
2024-10-04,50,431,0,2024-10-03 18:03:00+0000,2024-10-04 02:04:00+0000,0,
2024-10-05,66,411,2,2024-10-04 18:09:00+0000,2024-10-05 02:08:00+0000,0,
2024-10-06,55,367,2,2024-10-05 18:23:00+0000,2024-10-06 01:27:00+0000,0,
2024-10-07,92,380,1,2024-10-06 18:09:00+0000,2024-10-07 02:02:00+0000,0,
2024-10-08,68,512,4,2024-10-07 16:08:00+0000,2024-10-08 01:52:00+0000,0,
2024-10-09,51,421,4,2024-10-08 18:24:00+0000,2024-10-09 02:20:00+0000,0,
2024-10-10,79,438,23,2024-10-09 16:51:00+0000,2024-10-10 01:51:00+0000,0,
2024-10-11,67,362,0,2024-10-10 18:51:00+0000,2024-10-11 02:00:00+0000,0,
2024-10-12,51,417,3,2024-10-11 17:55:00+0000,2024-10-12 01:46:00+0000,0,
2024-10-13,81,534,230,2024-10-12 16:13:00+0000,2024-10-13 06:18:00+0000,0,"[{\"start\":\"2024-10-04 00:38:23+0000\",\"end\":\"2024-10-04 00:38:46+0000\"}]"
2024-10-14,56,384,2,2024-10-13 18:06:00+0000,2024-10-14 01:28:00+0000,0,
2024-10-15,58,449,6,2024-10-14 17:07:00+0000,2024-10-15 01:40:00+0000,0,
2024-10-16,52,382,0,2024-10-15 18:45:00+0000,2024-10-16 01:59:00+0000,0,
2024-10-17,45,360,3,2024-10-16 18:51:00+0000,2024-10-17 01:39:00+0000,0,
2024-10-18,55,418,0,2024-10-17 18:09:00+0000,2024-10-18 02:02:00+0000,0,
2024-10-19,53,411,0,2024-10-18 18:16:00+0000,2024-10-19 02:00:00+0000,0,
2024-10-20,64,412,2,2024-10-19 18:04:00+0000,2024-10-20 02:02:00+0000,0,
2024-10-21,65,356,2,2024-10-20 18:58:00+0000,2024-10-21 02:01:00+0000,0,
